book_id,title,author,category,isbn,publication_year,total_copies,available_copies
44,A People's History of the United States,Howard Zinn,History,978-0-06-083865-2,1980,6,5
45,The Silk Roads,Peter Frankopan,History,978-1-101-91218-3,2015,3,1
46,Steve Jobs,Walter Isaacson,Biography,978-1-4516-4853-9,2011,3,3
47,Leonardo da Vinci,Walter Isaacson,Biography,978-1-5011-3915-4,2017,5,2
48,Long Walk to Freedom,Nelson Mandela,Biography,978-0-316-54818-3,1994,7,3
49,The Diary of a Young Girl,Anne Frank,Biography,978-0-553-57712-5,1947,7,5
50,Einstein: His Life and Universe,Walter Isaacson,Biography,978-0-7432-6473-0,2007,8,0
51,Atomic Habits,James Clear,Self-Help,978-0-7352-1129-7,2018,3,0
52,The 7 Habits of Highly Effective People,Stephen R. Covey,Self-Help,978-0-7432-6951-3,1989,8,5
53,How to Win Friends and Influence People,Dale Carnegie,Self-Help,978-0-671-02703-5,1936,5,2
54,Think and Grow Rich,Napoleon Hill,Self-Help,978-1-59330-200-5,1937,2,0
55,The Power of Now,Eckhart Tolle,Self-Help,978-1-57731-480-6,1997,6,5
56,And Then There Were None,Agatha Christie,Mystery,978-0-06-207348-8,1939,4,1
57,The Girl with the Dragon Tattoo,Stieg Larsson,Mystery,978-0-307-45454-1,2005,7,7
58,Gone Girl,Gillian Flynn,Mystery,978-0-307-58836-4,2012,5,5
59,In the Woods,Tana French,Mystery,978-0-670-03862-5,2007,5,1
60,The Da Vinci Code,Dan Brown,Mystery,978-0-307-47427-3,2003,4,1
61,Outlander,Diana Gabaldon,Romance,978-0-440-21256-1,1991,3,2
62,Me Before You,Jojo Moyes,Romance,978-0-14-312454-9,2012,7,6
63,The Notebook,Nicholas Sparks,Romance,978-0-446-60523-4,1996,6,3
64,It Ends with Us,Colleen Hoover,Romance,978-1-5011-1534-9,2016,4,1
65,The Hating Game,Sally Thorne,Romance,978-0-06-247089-4,2016,3,3
66,Charlotte's Web,E.B. White,Children's,978-0-06-440055-8,1952,2,0
67,The Very Hungry Caterpillar,Eric Carle,Children's,978-0-399-20853-6,1969,8,1
68,Where the Wild Things Are,Maurice Sendak,Children's,978-0-06-443001-6,1963,3,1
69,"The Lion, the Witch and the Wardrobe",C.S. Lewis,Children's,978-0-06-447104-7,1950,8,6
70,Matilda,Roald Dahl,Children's,978-0-14-241037-1,1988,6,0
