transaction_id,book_id,borrower_id,borrow_date,due_date,return_date,status,fine_amount
36,1,23,2024-11-01,2024-11-15,,overdue,276.0
37,54,35,2026-02-04,2026-02-18,,overdue,46.0
38,29,32,2024-08-12,2024-08-26,2024-08-19,returned,0.0
39,4,25,2024-12-10,2024-12-24,,overdue,256.5
40,52,47,2024-06-18,2024-07-02,2024-08-01,returned,15.0
41,17,40,2025-06-30,2025-07-14,2025-07-06,returned,0.0
42,4,6,2025-10-20,2025-11-03,2025-11-02,returned,0.0
43,60,12,2024-02-21,2024-03-06,2024-02-26,returned,0.0
44,28,30,2024-11-30,2024-12-14,2024-12-14,returned,0.0
45,49,18,2026-02-09,2026-02-23,,overdue,43.5
46,54,17,2024-03-24,2024-04-07,2024-04-04,returned,0.0
47,70,4,2024-12-24,2025-01-07,2024-12-25,returned,0.0
48,6,49,2024-02-01,2024-02-15,,overdue,413.0
49,26,54,2024-01-21,2024-02-04,,overdue,418.5
50,31,9,2025-04-29,2025-05-13,,overdue,186.5
51,28,30,2025-12-17,2025-12-31,2025-12-22,returned,0.0
52,22,39,2025-09-13,2025-09-27,,overdue,118.0
53,15,50,2026-04-18,2026-05-02,2026-04-22,returned,0.0
54,14,38,2024-01-27,2024-02-10,,overdue,415.5
55,49,26,2026-01-02,2026-01-16,2026-01-11,returned,0.0
56,32,7,2025-12-14,2025-12-28,,overdue,72.0
57,16,51,2025-08-02,2025-08-16,,overdue,139.0
58,45,35,2025-03-14,2025-03-28,,overdue,209.5
59,9,33,2025-10-25,2025-11-08,2025-11-07,returned,0.0
60,54,53,2025-05-16,2025-05-30,2025-05-21,returned,0.0
61,59,46,2024-06-05,2024-06-19,2024-06-16,returned,0.0
62,67,42,2024-10-03,2024-10-17,,overdue,290.5
63,69,50,2025-05-10,2025-05-24,2025-05-23,returned,0.0
64,35,21,2024-09-08,2024-09-22,2024-09-25,returned,1.5
65,36,57,2025-04-06,2025-04-20,2025-04-13,returned,0.0
66,49,22,2024-01-30,2024-02-13,2024-02-04,returned,0.0
67,24,32,2024-08-05,2024-08-19,2024-08-09,returned,0.0
68,44,18,2025-09-02,2025-09-16,,overdue,123.5
69,36,36,2024-01-11,2024-01-25,2024-01-14,returned,0.0
70,11,16,2026-01-07,2026-01-21,2026-01-15,returned,0.0
71,31,45,2025-05-02,2025-05-16,,overdue,185.0
72,63,29,2026-03-22,2026-04-05,2026-03-26,returned,0.0
73,29,26,2025-12-09,2025-12-23,2025-12-19,returned,0.0
74,48,31,2025-07-20,2025-08-03,2025-07-26,returned,0.0
75,43,23,2025-12-20,2026-01-03,2025-12-24,returned,0.0
76,33,15,2024-05-03,2024-05-17,,overdue,367.0
77,41,8,2026-01-30,2026-02-13,2026-02-11,returned,0.0
78,24,13,2024-08-09,2024-08-23,,overdue,318.0
79,36,47,2025-08-26,2025-09-09,,overdue,127.0
80,68,39,2024-10-16,2024-10-30,,overdue,284.0
81,25,19,2024-08-20,2024-09-03,2024-08-24,returned,0.0
82,2,46,2025-06-30,2025-07-14,2025-06-30,returned,0.0
83,7,36,2024-10-26,2024-11-09,,overdue,279.0
84,17,41,2026-02-09,2026-02-23,2026-02-22,returned,0.0
85,2,37,2024-10-18,2024-11-01,2024-10-25,returned,0.0
86,44,12,2024-02-22,2024-03-07,2024-03-06,returned,0.0
87,62,8,2026-04-21,2026-05-05,2026-04-28,returned,0.0
88,10,37,2025-10-06,2025-10-20,,overdue,106.5
89,20,10,2026-04-10,2026-04-24,2026-04-14,returned,0.0
90,11,16,2024-05-01,2024-05-15,2024-05-07,returned,0.0
91,29,50,2025-06-19,2025-07-03,2025-07-03,returned,0.0
92,57,20,2025-08-25,2025-09-08,,overdue,127.5
93,40,37,2025-09-27,2025-10-11,2025-10-08,returned,0.0
94,13,49,2024-07-31,2024-08-14,,overdue,322.5
95,34,43,2024-03-24,2024-04-07,2024-03-26,returned,0.0
96,10,11,2024-01-03,2024-01-17,2024-01-14,returned,0.0
97,61,19,2024-02-03,2024-02-17,2024-02-14,returned,0.0
98,37,45,2025-04-09,2025-04-23,2025-04-12,returned,0.0
99,34,51,2026-03-21,2026-04-04,,overdue,23.5
100,26,28,2024-04-27,2024-05-11,2024-05-07,returned,0.0
101,20,59,2024-09-29,2024-10-13,2024-10-16,returned,1.5
102,8,11,2026-03-22,2026-04-05,2026-04-02,returned,0.0
103,37,29,2024-05-07,2024-05-21,2024-05-11,returned,0.0
104,52,18,2025-05-27,2025-06-10,2025-06-03,returned,0.0
105,11,39,2024-02-10,2024-02-24,2024-03-19,returned,12.0
106,42,39,2024-09-13,2024-09-27,2024-09-16,returned,0.0
107,3,49,2025-11-19,2025-12-03,2025-12-22,returned,9.5
108,6,49,2026-02-13,2026-02-27,2026-02-21,returned,0.0
109,57,59,2024-10-11,2024-10-25,2024-10-20,returned,0.0
110,56,41,2026-04-13,2026-04-27,2026-04-14,returned,0.0
111,61,23,2025-02-22,2025-03-08,2025-03-04,returned,0.0
112,14,55,2024-06-13,2024-06-27,2024-06-24,returned,0.0
113,64,19,2025-11-09,2025-11-23,,overdue,89.5
114,5,30,2024-03-31,2024-04-14,2024-04-05,returned,0.0
115,15,50,2025-02-17,2025-03-03,2025-03-30,returned,13.5
116,1,43,2025-07-09,2025-07-23,2025-07-09,returned,0.0
117,25,34,2025-01-05,2025-01-19,,overdue,243.5
118,64,41,2025-03-28,2025-04-11,,overdue,202.5
119,27,18,2025-07-16,2025-07-30,2025-07-20,returned,0.0
120,57,57,2025-12-16,2025-12-30,2025-12-16,returned,0.0
121,31,46,2024-06-11,2024-06-25,2024-06-11,returned,0.0
122,53,6,2024-08-18,2024-09-01,,overdue,313.5
123,15,30,2024-04-30,2024-05-14,,overdue,368.5
124,20,32,2026-01-03,2026-01-17,2026-01-14,returned,0.0
125,35,27,2025-05-09,2025-05-23,,overdue,181.5
126,32,30,2025-07-18,2025-08-01,2025-07-21,returned,0.0
127,66,48,2024-05-19,2024-06-02,2024-06-11,returned,4.5
128,54,22,2026-03-17,2026-03-31,2026-03-30,returned,0.0
129,1,19,2026-01-13,2026-01-27,2026-01-22,returned,0.0
130,63,56,2024-06-01,2024-06-15,2024-06-08,returned,0.0
131,45,22,2025-07-19,2025-08-02,,overdue,146.0
132,49,30,2024-11-25,2024-12-09,2025-01-01,returned,11.5
133,31,37,2025-01-27,2025-02-10,2025-02-08,returned,0.0
134,53,3,2024-11-21,2024-12-05,,overdue,266.0
135,49,25,2025-11-10,2025-11-24,,overdue,89.0
136,20,32,2024-02-07,2024-02-21,2024-02-16,returned,0.0
137,43,56,2024-04-12,2024-04-26,2024-05-11,returned,7.5
138,13,34,2025-04-12,2025-04-26,2025-04-14,returned,0.0
139,53,56,2025-11-01,2025-11-15,,overdue,93.5
140,10,31,2026-03-11,2026-03-25,,overdue,28.5
141,44,40,2025-12-10,2025-12-24,2025-12-11,returned,0.0
142,43,55,2025-11-21,2025-12-05,2025-12-18,returned,6.5
143,41,41,2026-01-05,2026-01-19,2026-02-04,returned,8.0
144,70,3,2025-09-24,2025-10-08,2025-10-04,returned,0.0
145,37,15,2026-02-03,2026-02-17,2026-02-04,returned,0.0
146,13,29,2024-06-19,2024-07-03,,overdue,343.5
147,4,3,2024-11-28,2024-12-12,,overdue,262.5
148,38,23,2025-01-18,2025-02-01,2025-01-21,returned,0.0
149,68,27,2025-08-02,2025-08-16,,overdue,139.0
150,24,11,2024-06-28,2024-07-12,2024-07-11,returned,0.0
151,49,40,2025-11-30,2025-12-14,2025-12-14,returned,0.0
152,19,15,2025-04-17,2025-05-01,,overdue,192.5
153,59,17,2025-11-13,2025-11-27,2025-11-25,returned,0.0
154,60,58,2024-10-21,2024-11-04,,overdue,281.5
155,21,5,2025-03-28,2025-04-11,,overdue,202.5
156,39,41,2025-03-10,2025-03-24,,overdue,211.5
157,59,55,2024-11-05,2024-11-19,2024-11-11,returned,0.0
158,62,7,2024-08-30,2024-09-13,2024-09-04,returned,0.0
159,38,45,2024-10-29,2024-11-12,2024-11-11,returned,0.0
160,51,18,2024-01-09,2024-01-23,2024-01-19,returned,0.0
161,7,59,2025-09-12,2025-09-26,,overdue,118.5
162,37,50,2026-03-29,2026-04-12,2026-04-10,returned,0.0
163,46,15,2025-10-13,2025-10-27,2025-10-17,returned,0.0
164,18,41,2024-04-09,2024-04-23,2024-05-14,returned,10.5
165,6,20,2026-03-18,2026-04-01,2026-03-27,returned,0.0
166,47,47,2024-05-14,2024-05-28,2024-05-18,returned,0.0
167,42,48,2025-03-01,2025-03-15,2025-03-03,returned,0.0
168,70,57,2025-01-09,2025-01-23,2025-01-23,returned,0.0
169,35,54,2024-06-17,2024-07-01,2024-06-30,returned,0.0
170,62,52,2024-10-29,2024-11-12,,overdue,277.5
171,44,52,2024-04-27,2024-05-11,2024-04-28,returned,0.0
172,19,49,2024-08-19,2024-09-02,2024-09-26,returned,12.0
173,51,55,2026-04-03,2026-04-17,2026-04-04,returned,0.0
174,51,1,2024-09-27,2024-10-11,2024-10-04,returned,0.0
175,48,44,2026-02-05,2026-02-19,,overdue,45.5
176,49,53,2025-10-15,2025-10-29,,overdue,102.0
177,14,44,2024-08-27,2024-09-10,2024-09-05,returned,0.0
178,42,59,2025-09-16,2025-09-30,2025-09-17,returned,0.0
179,60,59,2025-12-18,2026-01-01,2025-12-24,returned,0.0
180,15,9,2024-02-16,2024-03-01,,overdue,405.5
181,39,32,2024-04-28,2024-05-12,2024-05-12,returned,0.0
182,69,9,2025-02-01,2025-02-15,2025-02-11,returned,0.0
183,70,27,2025-08-24,2025-09-07,,overdue,128.0
184,20,57,2025-02-28,2025-03-14,,overdue,216.5
185,63,40,2025-02-21,2025-03-07,,overdue,220.0
186,36,3,2025-12-07,2025-12-21,2025-12-14,returned,0.0
187,57,16,2025-01-06,2025-01-20,2025-01-16,returned,0.0
188,48,35,2025-10-22,2025-11-05,2025-10-28,returned,0.0
189,36,13,2024-05-05,2024-05-19,,overdue,366.0
190,59,6,2025-11-09,2025-11-23,2025-11-19,returned,0.0
191,3,4,2026-03-16,2026-03-30,2026-03-18,returned,0.0
192,27,5,2026-04-29,2026-05-13,,overdue,4.0
193,27,38,2024-08-09,2024-08-23,2024-08-31,returned,4.0
194,43,50,2024-05-31,2024-06-14,,overdue,353.0
195,1,18,2024-05-28,2024-06-11,,overdue,354.5
196,70,17,2026-03-28,2026-04-11,2026-04-07,returned,0.0
197,4,9,2024-01-16,2024-01-30,2024-01-28,returned,0.0
198,31,38,2024-11-27,2024-12-11,2024-12-01,returned,0.0
199,7,9,2026-01-29,2026-02-12,2026-01-30,returned,0.0
200,9,31,2025-04-04,2025-04-18,,overdue,199.0
201,66,38,2024-04-21,2024-05-05,2024-04-24,returned,0.0
202,6,47,2026-03-13,2026-03-27,2026-04-18,returned,11.0
203,67,20,2025-04-14,2025-04-28,,overdue,194.0
204,4,4,2025-05-05,2025-05-19,2025-06-02,returned,7.0
205,14,32,2025-12-30,2026-01-13,2026-01-16,returned,1.5
206,11,21,2025-09-14,2025-09-28,2025-09-16,returned,0.0
207,36,40,2025-10-10,2025-10-24,2025-10-21,returned,0.0
208,42,25,2025-09-03,2025-09-17,2025-09-10,returned,0.0
209,65,39,2025-03-16,2025-03-30,2025-03-27,returned,0.0
210,15,55,2025-11-01,2025-11-15,,overdue,93.5
211,28,28,2025-04-07,2025-04-21,2025-05-05,returned,7.0
212,44,53,2025-04-09,2025-04-23,2025-04-20,returned,0.0
213,13,21,2025-03-13,2025-03-27,2025-03-17,returned,0.0
214,48,10,2025-12-04,2025-12-18,,overdue,77.0
215,9,6,2024-03-28,2024-04-11,2024-03-29,returned,0.0
216,48,52,2024-05-13,2024-05-27,2024-05-22,returned,0.0
217,43,43,2024-05-05,2024-05-19,2024-05-18,returned,0.0
218,55,56,2026-01-08,2026-01-22,2026-01-12,returned,0.0
219,40,23,2024-04-16,2024-04-30,2024-04-19,returned,0.0
220,20,43,2025-05-08,2025-05-22,2025-05-09,returned,0.0
